,claimReview_author,claimReview_author_name,claimReview_author_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_url,creativeWork_author_name,creativeWork_author_sameAs,creativeWork_datePublished,extra_body,extra_entities_author,extra_entities_body,extra_entities_claimReview_claimReviewed,extra_entities_keywords,extra_refered_links,extra_tags,extra_title,rating_alternateName,rating_bestRating,rating_ratingValue,rating_worstRating
31,,,,"People can get up to £24,000 a year in benefits while working 16 hours a week.
",,,https://fullfact.org/economy/lee-anderson-benefit-claim/,,,,,,,,,,,"£24,000 doesn’t represent what most Universal Credit claimants receive","This can happen. However, this amount is considerably higher than the average amount received.
",,,
32,,,,"The new UK-Japan trade deal will mean soy sauce imports from Japan will get cheaper.
",,,https://fullfact.org/economy/japan-soy-sauce-bake-off/,,,,,,,,,,,Soy sauce imports from Japan will not be cheaper next year,"Incorrect. Tariffs on Japanese soy sauce will stay at 0%. Tariffs on soy sauce imports from some other countries may increase, but from others may decrease.
",,,
33,,,,“The bakers used a lot of soya sauce in the first challenge on #GBBO so it's a good thing it will be made cheaper thanks to our trade deal with Japan.”,,,https://fullfact.org/economy/japan-soy-sauce-bake-off/,,,,,,,,,,,Soy sauce imports from Japan will not be cheaper next year,No verdict for Individual claims,,,
34,,,,"People are getting paid £850 a week in benefits.
",,,https://fullfact.org/online/850-benefits-week/,,,,,,,,,,,"It’s possible to receive financial support above the benefits cap, but this does not apply to the majority of households","Most people receiving universal credit or housing support receive less than this figure due to the benefits cap. Some can receive over the benefits cap, but most do not.
",,,
35,,,,"There are roughly 14 million people living in relative poverty this year. In 2000, there were roughly 14 million people living in relative poverty.
",,,https://fullfact.org/economy/october-2020-poverty-rates/,,,,,,,,,,,How poverty rates are cherry-picked to score political points,"The latest government figures show 14.5 million people (22% of the population) living in relative low income households after housing costs in the UK. In 2000/01 it was 13 million across Great Britain (23% of the population).
",,,
36,,,,"In 2010-11, there were 3.5 million children living in relative poverty. Today, the figure after housing costs is 4.2 million.
",,,https://fullfact.org/economy/october-2020-poverty-rates/,,,,,,,,,,,How poverty rates are cherry-picked to score political points,"Broadly correct. In 2010/11 the figure was 3.6 million (27% of children), and in 2018/19 it was 4.2 million (30% of children).However, if you measured from 2009/10, when the proportion was also 30%, there would be no change.
",,,
37,,,,"“There are roughly 14 million people living in relative poverty this year. In 2000, there were roughly 14 million people living in relative poverty. Why were Labour not able to fix the problems of relative poverty when they were in power?”",,,https://fullfact.org/economy/october-2020-poverty-rates/,,,,,,,,,,,How poverty rates are cherry-picked to score political points,No verdict for Individual claims,,,
38,,,,"“Perhaps the hon. Gentleman would like me to enlighten him on the poverty figures during Labour’s period in office. In 2010-11, there were 3.5 million children living in relative poverty. Today, the figure after housing costs is 4.2 million.”",,,https://fullfact.org/economy/october-2020-poverty-rates/,,,,,,,,,,,How poverty rates are cherry-picked to score political points,No verdict for Individual claims,,,
39,,,,"An “Australian terms” trade deal could be called a deal on Mongolian or Afghan terms.
",,,https://fullfact.org/economy/afghanistan-australia-canada-trade/,,,,,,,,,,,"What does an ""Australia style"" Brexit deal really mean?""","Mongolia and Afghanistan actually have more favourable trade terms with the EU, at least as far as tariffs are concerned, than Australia.
",,,
40,,,,"“We hope that the EU will change their position [...] But I think it’s only fair also that we communicate one other thing, which is that we are ready, if required, to leave on what have been called Australian terms.”",,,https://fullfact.org/economy/afghanistan-australia-canada-trade/,,,,,,,,,,,"What does an ""Australia style"" Brexit deal really mean?""",No verdict for Individual claims,,,
41,,,,“Could be called Mongolian or Afghan terms as well as Australian.”,,,https://fullfact.org/economy/afghanistan-australia-canada-trade/,,,,,,,,,,,"What does an ""Australia style"" Brexit deal really mean?""",No verdict for Individual claims,,,
42,,,,"People working in restaurants and bars in Bolton that were closed because of local Covid-19 restrictions could not access any support.
",,,https://fullfact.org/economy/question-time-furlough-scheme/,,,,,,,,,,,Andy Burnham was wrong about furlough on Question Time,"This is not correct. During the local restrictions in Bolton, businesses were still able to make claims through the furlough scheme on behalf of employees who had already been furloughed for at least three consecutive weeks before July.
",,,
43,,,,"Asylum seeker benefits cost the UK taxpayer £60 million per year.
",,,https://fullfact.org/online/asylum-benefit-fraud-tax-avoidance/,,,,,,,,,,,This viral post on benefits and tax avoidance is inaccurate,"Incorrect. In 2019/20 the Home Office spent £470 million on providing accommodation and cash support to people seeking asylum.
",,,
44,,,,"Benefit fraud and error costs the UK taxpayer £3 billion per year.
",,,https://fullfact.org/online/asylum-benefit-fraud-tax-avoidance/,,,,,,,,,,,This viral post on benefits and tax avoidance is inaccurate,"It’s estimated that £3.9 billion is overpaid to claimants due to fraud or claimant error, and £1.3 billion is underpaid to claimants due to claimant error. That gives a balance of £2.6 billion.
",,,
45,,,,"Tax avoidance costs £90 billion per year.
",,,https://fullfact.org/online/asylum-benefit-fraud-tax-avoidance/,,,,,,,,,,,This viral post on benefits and tax avoidance is inaccurate,"This is an unofficial estimate of the total tax gap. The figures are disputed and do not just cover tax avoidance.
",,,
46,,,,"The new UK-Japan trade deal will deliver a £1.5 billion boost to the UK economy.
",,,https://fullfact.org/economy/uk-japan-trade-benefits/,,,,,,,,,,,£1.5bn GDP boost from UK-Japan trade deal is not on top of existing EU-Japan deal benefits,"These estimated benefits are relative to 2018 when the UK (as part of the EU) had no FTA with Japan. It’s not relative to the existing EU-Japan trade deal which currently governs trade between the UK and Japan.
",,,
47,,,,"Remaining in the EU means £50 billion more for the government to spend by 2024/25.
",,,https://fullfact.org/europe/remain-bonus-reasonable-health-warning/,,,,,,,,,,,£50 billion “remain bonus” figure is a reasonable estimate but highly uncertain,"This is a fair assessment of the best available forecasts, comparing Remain to a Brexit deal scenario. But those forecasts themselves contain a high degree of uncertainty, so we shouldn’t treat £50 billion as definitive.
",,,
48,,,,"“We know that that remain bonus will be £50 billion that we can spend on our public services, investing in our schools and in the welfare system to help poorest in our society”.",,,https://fullfact.org/europe/remain-bonus-reasonable-health-warning/,,,,,,,,,,,£50 billion “remain bonus” figure is a reasonable estimate but highly uncertain,No verdict for Individual claims,,,
49,,,,"The government’s own research says that Boris Johnson’s Brexit proposals would lead to a 6.7% drop in GDP.
",,,https://fullfact.org/europe/brexit-economic-impact/,,,,,,,,,,,This comparison between Brexit’s impact and the financial crisis is flawed,"The government estimated a free trade agreement Brexit could lead to GDP being 6.7% lower after 15 years than if the UK remained in the EU. That’s not the same as saying this form of Brexit will lead to a drop in GDP compared to now.
",,,
50,,,,"The government’s own research says that Boris Johnson’s Brexit proposals would lead to a 6.4% drop in real wages.
",,,https://fullfact.org/europe/brexit-economic-impact/,,,,,,,,,,,This comparison between Brexit’s impact and the financial crisis is flawed,"The government estimated a free trade agreement Brexit could lead to real wages being 6.4% lower after 15 years than if the UK remained in the EU. That’s not the same as saying this form of Brexit will lead to a drop in real wages compared to now.
",,,
51,,,,"Boris Johnson’s Brexit proposals would lead to the kind of hit to the economy experienced in the financial crash.
",,,https://fullfact.org/europe/brexit-economic-impact/,,,,,,,,,,,This comparison between Brexit’s impact and the financial crisis is flawed,"This is an unfair comparison as it equates real drops in GDP and wages during the financial crisis to the loss of potential earnings over longer time periods as a result of Brexit.
",,,
52,,,,“The Government's own research says that Boris Johnson's Brexit proposals would lead to a 6.7% drop in GDP and 6.4% drop in real wages - the kind of hit to the economy experienced in the financial crash.” ,,,https://fullfact.org/europe/brexit-economic-impact/,,,,,,,,,,,This comparison between Brexit’s impact and the financial crisis is flawed,No verdict for Individual claims,,,
53,,,,"Britons have spent £4bn stockpiling goods in case of no-deal Brexit.
",,,https://fullfact.org/economy/4-billion-brexit-stockpiling-claim-flawed/,,,,,,,,,,,£4 billion Brexit stockpiling claim based on flawed survey,"This is almost certainly an exaggeration. The survey it’s based on likely overestimates the amount that has been stockpiled, and consumer spending data shows no evidence of people stockpiling to this degree.
",,,
54,,,,“Britons have spent £4bn stockpiling goods in case of no-deal Brexit”,,,https://fullfact.org/economy/4-billion-brexit-stockpiling-claim-flawed/,,,,,,,,,,,£4 billion Brexit stockpiling claim based on flawed survey,No verdict for Individual claims,,,
55,,,,"The EU has decided to increase the size of fisherman’s meshes.
",,,https://fullfact.org/europe/fishermens-mesh-eu-parliament-speech/,,,,,,,,,,,There’s no solid evidence to support this Brexit Party MEP’s claim about fishermen’s nets,"EU regulation has changed and there is now a minimum mesh size in certain areas. That came in place on 1 July 2019.
",,,
56,,,,"That change to mesh sizes has reduced fishermen’s income by 40%.
",,,https://fullfact.org/europe/fishermens-mesh-eu-parliament-speech/,,,,,,,,,,,There’s no solid evidence to support this Brexit Party MEP’s claim about fishermen’s nets,"That is based on an unsourced quote reported by a Cornish news website. We don’t know how or if income has been affected yet as the regulation only changed on 1 July 2019.
",,,
57,,,,“The powers that be have decided to actually increase the size of fishermen’s meshes thereby reducing their income by 40%.”,,,https://fullfact.org/europe/fishermens-mesh-eu-parliament-speech/,,,,,,,,,,,There’s no solid evidence to support this Brexit Party MEP’s claim about fishermen’s nets,No verdict for Individual claims,,,
58,,,,"Lowering the state pension age for women back to 60 would create four million jobs for the younger generation.
",,,https://fullfact.org/online/state-pension-age-women-jobs-young-people/,,,,,,,,,,,Lowering the state pension age for women won't create four million jobs for young people,"This is not accurate. There is no evidence that four million women over the age of 60 are currently employed nor that they would all retire given the opportunity.
",,,
59,,,,"Mark Francois has denied the existence of a gender pay gap.
",,,https://fullfact.org/online/mark-francois-gender-pay-gap/,,,,,,,,,,,Mark Francois did not deny that there is a gender pay gap,"This is not true. Mr Francois did not say this. It seems the quote was fabricated.
",,,
60,,,,"Half of adults are now being paid by the state.
",,,https://fullfact.org/economy/claims-about-whos-paid-state-arent-very-meaningful/,,,,,,,,,,,Claims about who’s paid by the state aren’t very meaningful,"There are too many ways to interpret this for any single answer to be meaningful.
",,,
61,,,,“More than half of all adults now paid by the state”,,,https://fullfact.org/economy/claims-about-whos-paid-state-arent-very-meaningful/,,,,,,,,,,,Claims about who’s paid by the state aren’t very meaningful,No verdict for Individual claims,,,
62,,,,"Average pay has finally surpassed its pre-crisis peak.
",,,https://fullfact.org/economy/earnings-februrary-2020/,,,,,,,,,,,Whether wages have passed their pre-crisis level depends on whether you include bonuses,"True, for average weekly earnings in GB, if you don’t count bonuses. Average weekly total earnings including bonuses is still below the pre-crisis peak.
",,,
63,,,,“Average UK wages top pre-financial crisis levels.”,,,https://fullfact.org/economy/earnings-februrary-2020/,,,,,,,,,,,Whether wages have passed their pre-crisis level depends on whether you include bonuses,No verdict for Individual claims,,,
64,,,,“Wages back above pre-economic crisis levels.”,,,https://fullfact.org/economy/earnings-februrary-2020/,,,,,,,,,,,Whether wages have passed their pre-crisis level depends on whether you include bonuses,No verdict for Individual claims,,,
65,,,,“Average pay has finally surpassed its pre-crisis peak.”,,,https://fullfact.org/economy/earnings-februrary-2020/,,,,,,,,,,,Whether wages have passed their pre-crisis level depends on whether you include bonuses,No verdict for Individual claims,,,
66,,,,"Universal Credit has got 200,000 people into work.
",,,https://fullfact.org/economy/boris-johnson-pmqs-universal-credit/,,,,,,,,,,,"Universal Credit has not got 200,000 people into work","Incorrect. This was the government’s estimate of what Universal Credit would do by 2024/5. It may not be reliable, and can never be measured properly.
",,,
67,,,,"“Universal Credit has in fact succeeded in getting 200,000 people into jobs.” ",,,https://fullfact.org/economy/boris-johnson-pmqs-universal-credit/,,,,,,,,,,,"Universal Credit has not got 200,000 people into work",No verdict for Individual claims,,,
68,,,,"Just 15% of people who begin low-paid work in the UK will rise out of low pay during their working lives. This is the worst rate in the developed world.
",,,https://fullfact.org/economy/iain-duncan-smith-15-low-pay/,,,,,,,,,,,Sir Iain Duncan Smith is wrong to say that only 15% of people ever move above low pay,"This claim is based on EU data from 2004-2011 showing the proportion of workers moving upwards from any skill level over four years, not in their lifetimes. The same data shows 35-40% of people rising out of low pay in the UK over a four-year period. The UK’s rate is low compared with other EU countries, but not the lowest.
",,,
69,,,,"“In the UK, if you start work at entry level, only 15% of those who start work at entry level will rise above entry level—that’s the lowest pay—for the rest of their working lives. This is about the worst figure in the developed world.”",,,https://fullfact.org/economy/iain-duncan-smith-15-low-pay/,,,,,,,,,,,Sir Iain Duncan Smith is wrong to say that only 15% of people ever move above low pay,No verdict for Individual claims,,,
70,,,,"The UK was able to approve the Pfizer/BioNTech vaccine more quickly because of Brexit.
",,,https://fullfact.org/health/coronavirus-vaccine-brexit/,,,,,,,,,,,Vaccine approval isn’t quicker because of Brexit,"This is not correct. Under European law, the UK was permitted to act independently to approve the vaccine in an emergency.
",,,
71,,,,"“Because of Brexit we’ve been able to make a decision [to approve the Pfizer vaccine] based on the UK regulator, a world class regulator, and not go at the pace of the Europeans who are moving a little bit more slowly. We do all the same safety checks and the same processes, but we’ve been able to speed up how they’re done because of Brexit.”",,,https://fullfact.org/health/coronavirus-vaccine-brexit/,,,,,,,,,,,Vaccine approval isn’t quicker because of Brexit,No verdict for Individual claims,,,
72,,,,"A new YouGov poll shows 62% of people think that Brexit is a bad thing.
",,,https://fullfact.org/europe/brexit-support-poll/,,,,,,,,,,,Daily Mirror misrepresents research on public support for Brexit,"Incorrect. The poll shows that 50% of GB adults think Britain was wrong to leave the EU, and a further 12% don’t know.
",,,
73,,,,“Pollster YouGov finding a record low of 38% still believe Brexit’s a good thing while 62% realise it’s bad illuminates why shackling a country to a narrow referendum squeaked on lies four years ago isn’t smart.”,,,https://fullfact.org/europe/brexit-support-poll/,,,,,,,,,,,Daily Mirror misrepresents research on public support for Brexit,No verdict for Individual claims,,,
74,,,,"A majority of the public is against extending the transition period between the UK and the EU.
",,,https://fullfact.org/europe/brexit-transition-period-economic-cost-public-opinion/,,,,,,,,,,,Claim that extending the Brexit transition period could cost £380 billion is not credible,"The poll found more people are opposed to extension than in favour of it, but less than 50% so it’s not a majority opinion. Many other recent polls have shown the opposite.
",,,
75,,,,"It will cost the UK £378 billion to extend the transition period between the UK and the EU.
",,,https://fullfact.org/europe/brexit-transition-period-economic-cost-public-opinion/,,,,,,,,,,,Claim that extending the Brexit transition period could cost £380 billion is not credible,"This estimate is based on a one-sided analysis which doesn’t seem to factor in any economic benefit of retaining free trade with the EU during the transition period. Most studies suggest these benefits outweigh potential gains from trade agreements and deregulation after the transition period ends.
",,,
76,,,,“Get Brexit done! Majority AGAINST Brexit transition extension in close poll”,,,https://fullfact.org/europe/brexit-transition-period-economic-cost-public-opinion/,,,,,,,,,,,Claim that extending the Brexit transition period could cost £380 billion is not credible,No verdict for Individual claims,,,
77,,,,Britain’s ‘faces £380billion bill’ if Brexit is delayed beyond December,,,https://fullfact.org/europe/brexit-transition-period-economic-cost-public-opinion/,,,,,,,,,,,Claim that extending the Brexit transition period could cost £380 billion is not credible,No verdict for Individual claims,,,
78,,,,“Extension to Brexit bill could cost £378bn”,,,https://fullfact.org/europe/brexit-transition-period-economic-cost-public-opinion/,,,,,,,,,,,Claim that extending the Brexit transition period could cost £380 billion is not credible,No verdict for Individual claims,,,
79,,,,"7.7% of UK goods exports go to the EU.
",,,https://fullfact.org/europe/eu-goods-exports-gdp/,,,,,,,,,,,Claim that 7.7% of UK goods exports go to the EU is a big underestimate,"Incorrect. 46% of UK goods exports go to the EU, according to the latest data for 2019. Those exports amount to 7.7% of GDP.
",,,
80,,,,"Tens of thousands of workers will share in a £1.8 billion pay rise under a US trade deal.
",,,https://fullfact.org/europe/us-trade-deal-wages/,,,,,,,,,,,The government’s “£1.8 billion pay rise” from a US trade deal doesn’t outweigh the impacts of Brexit on wages,"Government analysis shows wages could be 0.2% (£1.8 billion) higher after 15 years under a scenario where we sign a free trade deal with the USA compared to a baseline scenario where we don’t. But this baseline assumes wages will be 6.4% lower than they would have been, had we remained in the EU.
",,,
81,,,,"“Tens of thousands of workers will share in a £1.8 billion pay rise under a US trade deal that is “there for the taking”, the International Trade Secretary says.”",,,https://fullfact.org/europe/us-trade-deal-wages/,,,,,,,,,,,The government’s “£1.8 billion pay rise” from a US trade deal doesn’t outweigh the impacts of Brexit on wages,No verdict for Individual claims,,,
82,,,,"The Treasury expects the UK economy to shrink by 4.9% under a Canada-style deal with the EU.
",,,https://fullfact.org/europe/canada-deal-gdp/,,,,,,,,,,,"No, the Treasury doesn’t expect the economy to shrink if we sign a Canada-style deal with the EU","The Treasury estimated that a free-trade agreement similar to Canada’s would mean the UK economy grows between 4.9% and 6.7% less over 15 years, than it would have if we had remained in the EU. But that doesn’t mean the economy will shrink.
",,,
83,,,,"“The UK is seeking a Canada-style deal with the EU, which Treasury analysis estimates will shrink the British economy by 4.9 per cent.”",,,https://fullfact.org/europe/canada-deal-gdp/,,,,,,,,,,,"No, the Treasury doesn’t expect the economy to shrink if we sign a Canada-style deal with the EU",No verdict for Individual claims,,,
84,,,,"The EU did not help Britain during the Falklands War, and instead sent weapons to Argentina.
",,,https://fullfact.org/online/european-community-supported-britain-during-falklands-war/,,,,,,,,,,,The European Community supported Britain during the Falklands War,"This is not true. The EC (the predecessor of the EU) applied an arms embargo and an import ban on Argentina.
",,,
85,,,,"“37 years ago, During the Falklands War did the EU help us NO they were openly sending Weapons to our AGGRESSOR never forget that",,,https://fullfact.org/online/european-community-supported-britain-during-falklands-war/,,,,,,,,,,,The European Community supported Britain during the Falklands War,No verdict for Individual claims,,,
86,,,,"Norway has free movement with the EU, despite not being in the single market.
",,,https://fullfact.org/europe/kay-burley-diane-abbott-free-movement-EU/,,,,,,,,,,,You can have freedom of movement outside the EU if you’re in the single market,"Norway does have free movement, but it is in the single market.
",,,
87,,,,"Once the UK leaves the single market, freedom of movement no longer applies.
",,,https://fullfact.org/europe/kay-burley-diane-abbott-free-movement-EU/,,,,,,,,,,,You can have freedom of movement outside the EU if you’re in the single market,"Correct. Freedom of movement is one of the rules of the single market.
",,,
88,,,,“Once we come out of the single market freedom of movement falls.,,,https://fullfact.org/europe/kay-burley-diane-abbott-free-movement-EU/,,,,,,,,,,,You can have freedom of movement outside the EU if you’re in the single market,No verdict for Individual claims,,,
89,,,,“Norway’s not in the single market and yet they have free movement.,,,https://fullfact.org/europe/kay-burley-diane-abbott-free-movement-EU/,,,,,,,,,,,You can have freedom of movement outside the EU if you’re in the single market,No verdict for Individual claims,,,
90,,,,"Under Boris Johnson’s planned withdrawal agreement GDP per capita would fall by up to 7% in 10 years.
",,,https://fullfact.org/europe/brexit-cost-new-deal/,,,,,,,,,,,Think tank did not say GDP per capita will fall by 7% under Boris Johnson’s deal,"Incorrect. This misreports an estimate by think tank UK in a Changing Europe. It estimated that, in one scenario, GDP per capita would be 7% lower after 10 years, compared to if the UK remained in the EU—not 7% lower than it is now.
",,,
